Username,Comment
@ManishDewangan-pv4fw,101😂😂
@Vivek420-q7g,Us for 4 other's😂
@Therealgamer1m999,Mera name tarun hai
@rj23shekhawati9,Bhai Pankaj is my best friend's name😂😂
@aryan7361,1:13😂
@MR.JASMEET-b4k,Nice ❤😂
@SonuBagri-ug1ny,😂😂
@techdfire2358,Bhopal aur Chhattisgarh!.. tum Jake tizori todo 😂😂😂
@pankajsharma6961,I'm pankaj 😅😅😅
@sid_diogen,Not your type should have its own animation netflix series
@prahladyadav8916,Password 101
@Itzcrazyofficial16,"Bhai waise mera nam himachal hai 
Me to kabhi ni gya chori karne 😂😅🫣"
@Aditya_yashasvi,1:21 🌚
@AayanQuraishi-zm9mg,Is😂namaste namaste 😅😅😅😂
@Shivu-l4d,What a twist
@umar16134,4:05 chuuuuuuuuu😅😅😅
@assingh7259,😅😅😅😅
@Drk194.,Pin pls
@Cricket_editz0003,Not your type fans attendance 📔❤
@lekhrajthakur1963,Himachal 😅😅
@DeepakSingh-rt4pj,Bhopal❌Bhople✅
@kailashbasumatary9676,😢😢😂😂😂😂😂😂😂😂😂
@ROYALINSANE11,Can someone teach me how to post a funny comment
@Fear_Azrael141,Professor ❌ processor ✅
@RehanHawaldar-k3n,Please part 2❤❤❤❤❤❤😊😊
@clutcher_x5089,Aree madar......
@Birlin_,What  a stupid video with stupid script and stupid animation... Even a 9 years old child painting is better then it
@__sk__pro_gaming,Aapane hamara Chhattisgarh ka Naam Liya bahut achcha lag raha hai❤❤
@TKRCreations70,Password 101
@mr_sam2.1,1 no
@suryasahoo705,Professor ❎ processor ✅
@messi_gamer4523,😂😂
@Letmecook-21-f,ICICI Bank ❌ YCYC Bank ✅🤣🤣 Love you bro
@bhupendrasinha3335,I'm from chhatisgarh ❤️❤️
@NehaGupta-nc2ru,Any one 2024
@PANKAJ1037-f1w,❤❤❤❤❤❤
@SK-rp4rg,😂😂
@PankajMishra-p4g,Bro my name is pankaj 😎
@ifyouknowz,That one person name Bhople😂😂😂😂
@Krushnahake4343,4:06  password tha na 😂😂😂
@navyasharma766,"Password
101🤣🤣🤣🤣🤣"
@WarBotClips,멋지다 😋
@rakeshbaskaran4757,😂😂😂😂
@divyajalokhande4226,good😄😄😄
@onlyonmatka1608,chhattishgarh 😂😂😂👍 name de diya 😂
@Tanish_playz22,lindi hai tooooooooo
@mani35555,Who is fan of not ur type ❤
@Pankaj__Dhayal,Are ye to m hu 😂
@notifyshorts,2:51 dialogue 😂
@notifyshorts,2:56 dialogue ❤❤
@TaniaProdha-rz6kp,101❤❤❤❤❤❤
@DIPADON1528,Best comment
@KunilpT,Password lol hai😂
@NayanNarware,Ripop
@Sahil_hu_0000,Chhattisgarh was unexpected 🤣🤣
@ArchanaRam-j2c,101
@1stjuly2005,3:17😂
@babitarodrigues4919,Password is 101
@SonaKunar-d1g,Bhai kya mast video thi
@rohitarya4113,wow.. ab bss aisa video mat dalna
@CY_Pankaj,i am that pankaj😅
@loveIshq42,Instagram se dekh kr kon kon ayaa hai 😂😂
@AsadKhan-gp9sk,0:38 its a JOJO reference
@mickeyTiJoRa,Oooo hohhohhho maja agaya bhai😂❤
@Ashwingamer-t1y,🎉┗⁠(⁠•⁠ˇ⁠_⁠ˇ⁠•⁠)⁠―⁠→V⁠●⁠ᴥ⁠●⁠V
@tanishbhati8982,Paisa paisa
@sahidmidday1752,Op mein kabhi soch bhi nahin Sakta tha😊😊😊 good job bro
@ng_empire_09,Criminal name Chattisghare hare😌😌😪
@ng_empire_09,Criminal name Chattisghare hare😌😌😪
@ng_empire_09,Chattisghare hare😌😌😪
@Craftwithnabiya-h2x,Rip off 😅😅
@Farhan_Anjum,damn 🤣
@roshanpansuriya,5:18 😂😂😂😂
@sidharthnayak53,Puja wala mast tha 😂😂😂
@fun_creatine,Start was lovely just lovely
@Suku_editz_007,1:52 Love from chattishgarh ❤
@pankajkumarpalei1866,bahi eia mari bat to nahi kar rahahe
@dheerjain7575,Bhai free fire ke liye bhi one video❤❤❤❤🎉🎉
@dyroyalmaratha3802,😂😂😂😂😝😝
@AbdullahOmar-dp4tu,101🤣🤣
@kamaljandu9460,Ek din mera comment bhi viral hoga 🥺❤️
@hollywoodtadka069,password 101 😂😂😂
@BalramYadav-hi5wd,Nyt 4ever
@nikkupradhan9727,Chhatisgarh 😅😅😅😅😅😅
@Shahg.aseel768,".
































.

























.









....."
@KrishnaKharkwal,Next Stranger things
@Blackrock_5,Car name
@shivanshkumar370,4:49
@truebanda543,0:00 Hey welcome to timestamp
@proneelmandal9710,3:20 😂😂😂
@ismailmaxismailmax2095,Processor 😂
@pahadigamer2376,bhai mera paper ha but your video is too 😂😂😂
@himachalgamerop8070,I am from Himachal 😂😂😂
@marveloustarun,"Atlast finally....thank u for mentioning tArun bro.🫡
I am sick of the guys adding extra tHarun for my name unnecessarily 😢"
@lucifert-us4hf,I love how @NOTYOURTYPE is collabing with small yt channels
@FIRE_SHADOW8,3:17 Kya baat hai bhai OP 😂
@FIRE_SHADOW8,3:42 😂 op
@neelam_nandan,Alex Pina sadme mai hai😂
@juniorchamp3621,this story is very similar to THUNIVU
@RajaBelo-ex3po,Planning 😂
@aradhyakumari9244,Nyt
@gumgeete5944,NYT rulez
@ayush-b8h9q,"Money heist in 144p😂😂
But video 1no. Thi😂😂"
@invitationbanquethall3004,Everyone everyone take the NETFFLIK
@paraghule9096,Bhopley😂😂😂😂
@heistsinger8509,Who notice the password 101😅
@Pankaj10012,My name is Pankaj 😂😂
@zuzuuuu-bj2,Bhopal Aur Chhattisgarh 😂😂😂😂😂
@RED_OFFICIAL_007,😅😅
@pankajshivankar1454,Abbe sale 😢😢😢
@hereits_aman,😂👏
@kunalgurav7731,1:59 Bhople😂😂
@Ruhaanjoshiepicboy,😂😂😂😂😂😂😂
@KsToshi108,Yc yc bank
@veerpalkaur9871,"Bhai dragon ball super ki video  
Pls"
@Pankaj_Creations166,I'm also Pankaj 😢
@Kalpanagames,😅😊😊😊
@kiranthevar904,3:24 Abe ye konsa tareeka Hain be darenka 🤣🤣
@pradipkumarroy8058,😊❤😂
@sushantakarmakar1762,3:44 aree kuk na shemre was funny 😂
@M.Plofiplalist-fb4um,Always best animation not your type 😅
@NOOB__YADAV__07,Musha jab kttra bana diya 😢😢 😂😂😂😅😂😅😅😂
@YukiThenkai-yt3zd,Little more improvement needed 🙂 But its good.
@YukiThenkai-yt3zd,Little more improvement needed 🙂 But its good.
@YukiThenkai-yt3zd,😔
@Darshan_Singh403,❤😂😂😂😂😂
@ghostMirza-fb3fv,i think @notyourtype will become more often streamed than netflix..
@PremSun-uf2lk,But but dhanyavad BHA great jankari ❤🙏
@Dimetrogaming,bhai tu kitna backchod he yaar😂😂
@momimstudying,"3:20 plzz
4:47 😂 dark"
@gamorpd,Chhattisgarh 😂😂❤
@sanakhan6493,Im wacthing in bhopal oh sorry bople
@moderncomputers2427,ololololololololololololololololololo;ololololololoolololoooooooooooooooollllllllllllllllllllloooooo
@gtrmcs,100 times better then money heist 😂😂😂
@rgewrgergafgf-lx4he,Great video we want more videos like this @Netfliz
@shanvisingh17,I am from bhopal
@sevenfantasy66,Password lol
@prakashfromtusma9790,I am from chattisgarh 😂
@jaygupta.2o591,Chattisgarh ❤
@hulkgabbar6041,Chhattisgarh wale like kare ❤❤❤❤❤
@rajkashyap9544,"Waaha Bhai , Processor 😅 ko kia dikhaya hai"
@adisplay3860,03:19 really laughing for hours
@PreethamSharma-nx2zt,Fkjiis7jsustrhdsjogshojguoudgkbfojf
@JayDadhich897,"Zotato , yc yc bank , processor , Sniper 😂"
@JayDadhich897,Mast h 😂
@drjtherulemaker6593,Apun chhattisgardh
@ThePramodK007,Processor 😂
@Nishatjerin.dewdrops,Procesor😂😂😂😂😂
@GuessitsAniketttt,😂😂
@RITESHSHORTS501,😂😂😂😂😂😂
@somitariq4209,Not your type in Netflix 😮😮❤❤ 👍👏
@IsratKhan-u3v,Fabulous 🎉
@vedanttomar2511,3:16 pagle manager 😂
@Vasudev.Sharma369,1:17
@Vihaan-z4u,Netflix op❤❤❤
@robertdowry1273,Not your type you are legend😊
@itssimran4948,Rip off.  😂😂😂
@beauty_girl2865,Always supports not your type ❤️
@sagarverma6952,😂😂😂
@user-vm8qy6dm5p,TT_TT
@apba2240,Proccesor>>>>> professor 😂
@STFU141,Kya ye spoil ho gyi???
@JustAFriend555,Not your type us the best animator.
@Skbwhw3,😂😂😂😂😂😂
@ITZ-792,😂😂😂😂😂😂 best voice artists
@NewyGamy,@netflixindia if you like this comment it means you are gonna make another collab with not your type
@nooooiiiccceee_dumb,Loved it ❤
@viksoni1985,"भारत का सबसे भड़वा OTT है नेटफ्लिक्स इंडिया। अपनी एनीमेशन में 10 सेकेंड का तुमने यज्ञ हवन का मजाक बनाया, मैने तुम्हे भड़वा कहा, हिसाब बराबर।"
@NavedShah-bb8rk,❤
@NavedShah-bb8rk,Not your type your video is very good is very laughing video
@NavedShah-bb8rk,Ssss
@Motivational62677,Chhattisgarh
@marketingmsa1378,Processor
@daddu.bhaina,chattisgarh Wale like kro 😂😅
@rinaYadav-c8c,Bro mera naam pankaj hai
@shovatalukder2968,Not your type copy
@ngnobitaff8331,Processor 😂😂😂
@AdityaGoswami-w8w,Netflix's ka subscription tera bap dega
@subratamandal8646,5:33
@subratamandal8646,5:331
@udayabhandari7265,Not your type  forever
@vatsalchoukhani5590,😂😂
@AapBatao-pi5ob,Bank looks like gta vice city
@JatinSingh-wl8ex,Too good
@Shiva_xd-u1k,Win ayu ♥️♥️
@Madhavi-l2q,YCYC BANK 😂🙂
@Sunny................,Professor ❌ processor  ✔️
@asad786yt3,3:16  best funny part 😂😂😂
@cartoonvids,Ek jeb katra hamesh jeb katra hi rhe ga 😅
@seikhr.k.835,Best collaboration 🎉i loved it
@dhruvsrivastava3222,Awesome!!
@daddu.bhaina,chhattisgarh Wale like kro ❤😅
@ritikmedaofficial_,Not your type ❤️
@RajeshRaghuvanshi-ws6qh,Panda gang op😈😈💯
@sunitadevisunita,La casa de papel
@mr.creater578,Aap kahea toh aap ke bhi peche se ye bundok dal dete hai maja aayega pat pat. 😂😂😂
@ya-jiv_creations,"Vai ish video ki concept same to same nepali movie LOOT jaisa hey.
What a coincidence"
@MugiwaraSpidey,"Ripoff as always ,expected from indians"
@kalyugkamanav5000,0:43 maro maro .... Lekin usne Kiya kya hai ...maro maro 😂
@MUI_Editor,Ayu win
@mohitchaudhary9707,Don't let them know your next move 😂
@garou_o_o,6 months ago 💀💀💀💀💀
@yt_ayushplays6373,2:44 “me guard hu re uska YC YC ka” 🤣🤣
@SA-gf3th,AYU IS GREAT
@Satoru_7032,"Not type  team like
👇"
@HitanshJariwala-l8m,rip off
@AryanShekh-n7l,Next Part 2
@JakirKhan-ci2dq,Rif of
@RostingWithArya,Bhople 😂😂😂
@ahsangillani5214,Not you type desided to trash her tellent for netflex butt😂😂😂
@Multiple_gaming2,अरे हमको चोर बना दिया 😂😂
@beatgaram,Papa g muje pani piladijiye
@arjunsarkar98,Not your type is best ❤❤❤
@dollphin2086,Why name pankaj
@vipindwivedi,Love from Chhattisgarh ❤
@suryavaish,bkl woke netflix ne kuch toh accha kaam kia
@sushantjaidhar347,Not your type my favourite and I like this red hair 😻🚩💪
@ShakilAhmed-er1vj,That's nice
@josan09,😂😂😂
@binasingha4785,Wyaha pe 3 bar pasword likha hai 101 phir bhi bo bakra lakta hai ki mai bhagwan ban raha hu 😂
@mannansayyed3618,Processor nahi bhai professor 😂😁
@Ramandeep-gb8yg,ਕੱਛਪ ਕੁਲਜੀਤ
@AB_gaming-z4c,OH my duck
@Ganguly.Yadav_4039,3:20 i can't stop my laugh
@Silenceshorts795,😂😂
@mohdzafar7246,You are not not your type pagle
@kunaledits6330,1:57 epic 😂😂
@ManasParikh-jj5si,The twist though 😂😂
@Manpreettkaurs,Niceee❤😂
@maseeraqureshi7081,"Me yt par trailer dekhne aayi thi ,  isne to puri series hi dika di 🫠"
@sagarkhare5835,Tu bhi bhid me maar raha tha 😆😆😆😆😆😆
@abhisheksharma6748,Zomato Vala OP Scene
@Sandeep8Maurya,😮😮😮.     By😮 uuuuuf. J😮  d. K kx. Ik. Kf j ks.  Or. R
@giri6744,Dimag kharab
@MdShamsuddinY,😂😂😂😂😂
@Ayush_-wq7kq,Bahot badhiya bhai
@OPking6995op,3:42 best funniest clip !🤣😂🤣
@bhaveshnaykabhaveshnayka9143,Password is 101😅
@luffy_x_gamer,Nyt  team ❤❤❤  forever. Netflix ❤❤❤❤ both are my favourite youtube channel 😊😊😊😊 he can change my mode thanks u for making me laugh
@Ganganagar,😁😁
@ahmadbilalgill,"😂😂😂😂😂😂😂😂
😂😂😂😂😂😂😂😂
😂😂😂😂😂😂😂😂"
@JerryToon-qo2od,Chhatisgarh 😂😂
@jdoeiwnwpiw,Mene kya Kiya h Bhai 😅😢😢😢
@roopaklakhera8815,2:00 their names😂
@mtlover7287,Are ruk na shemre😅
@mtlover7287,Mumbai chattisgarh himachal bhopal😂😂😂😂😂😂😂
@chaogaming4686,"😂
😂😂😂😂😂😂😂"
@bongorlabongochachacha475,Processor😂😂
@bongorlabongochachacha475,Bhople😂😂😂
@Rugan132,Zotato is op😂😂😂
@Irritated_vashu213,3:18 funniest part 😂😂
@easypaisaemail,2:21  😂😂
@roypeter4742,You are best cartoon comedy maker bro superb superb 😂❤❤❤❤❤❤❤❤😅
@roypeter4742,❤❤❤❤😂😅
@Aashaymandloi-hs4xg8uc8w,3:18 best funny part
@BeastAal_Gaming,😂
@revajagat1537,Iam from chhattisgarh
@ChandanKumar-yt1vw,😂😮😢😅AnikeT...Raj🎉
@pankaj_solanki9105,My name is pankaj 🤣🤣🤣🤣
@SNK20,Love from Chhattisgarh ❤ kisi youtuber ne phle bar nam Kia 😍
@FOGGAMINGOFFICIAL,Password lol was epic
@Bl_vlogerrr,Bhai itna hasi lag raha hai 😂
@AshokKumar-iw1vr,😡🤬🖕👨‍❤️‍💋‍👨🐖
@meg33333,Zomato and other companies services far better than ambulance and police. 😂😂😂
@lyricslife8,भोपले 😂😂😂
@whccvcfgdsrcr2,tu bhi mujhe bhid me maar rhha tha😂
@ratri-f6v,"hai eshbar hamare prarthana sune aur tijori khol dey..,omg best"
@ratri-f6v,proccessor...the line was epic omg..hahahahah🤣🤣🤣🤣🤣🤣🤣🤣
@_KNWRJI__624,I m from chattisgarh  ❤️
@zgn__pain2908,This guy is lit🔥🔥🔥🔥
@ani_mon,Watching only Bcoz of NOT YOUR TYPE😂❤️
@ShamimAhmad-o3v,Next video mein dialogues aur dalna please❤
@pratyush329,Proud to hear chattisgarh state from you bro 👍❣️❣️❣️
@mr_Nayak_ji_333,Thunivu
@mdayan9591,😂😂😂😂
@Andycarracer,😂😂😂😂😂❤❤❤❤❤ nice
@sajidhusenn,3:46 Best scene 🤣😂😅
@AsifShaikh-mz5gt,So funny ar 🤣🤣
@Haider-i7j7,Password 101😂😂😂😂
@looser100,Acha hua is video se phle money heast dekh li thi
@looser100,Asa bura bataya money heist ko ab koun dekhega 😂😂😂
@FREEGAMERZ123,My name is tarun 😅😅😅
@bhawnasingh4933,i loved this video. it was very funny
@STRIKING_NINJA_FF,Best ❤❤
@mssgaming701,4:26 zotato 😂😂
@AkashChauhan-c1y,Chhatisgarh
@bhurasakya1803,Padosi pe video bnaooo
@bhurasakya1803,Padosi pe video bnaooo🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼
@bhurasakya1803,Padosi pe video bnaooo🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼
@nishantkarki2840,I'm leaving this comment here so after a month or a year when someone likes it. I get reminded of this masterpiece 🥰
@jaisurya6044,Bhople😂😂😂
@Aditya__Thakare,𝚢𝚌𝚢𝚌  𝚋𝚊𝚗𝚔  😂😅😅
@rpranjanff,Zomato
@rpranjanff,Pass 101
@AljismagarMulac,3:20 scene was funny😅😂😂😂
@PappuRahulG,Love from BHOPAL ❤❤❤
@NewWorldOrganisationYT,Amazing
@akhileshshuklaUp72,Yc Yc nahi icici ho ta haii bhai gagab 😅
@Esport-t5m,Disclamier No harm ICICI Bank🤣🤣🤣
@nanditaroy1347,Yahhhhh not your type in netflix series hahah
@mahakalbaba1436,Bhai 😂me Bhopal se hu
@balvantchauhan7848,Password likha to Hain 😂😂😂
@junarinya-pk9nr,Best one❤😂😂😂😂
@dipaliamrutkar7532,Bhople😂😂😂😂😂
@niladritheboss,@not your type..🎉
@arpanaminj10,Jeb Katra 😂 processor
@Fashionable_246,Not your type
@Wealthweather,Not your type ❤❤😂😂😂
@AbhijithAS-q9r,Processor 😂😂
@Yourtypecg,Dhoom machale Dhoom machale that line ohho ohoo😂😂😂
@Mr_BeardsomeRoy,His contact izz better than your favourite chanchali and carry....
@hksingh00,op in the chat guees
@kvMotoVlog92,❤
@munnabhaiyhsp,😂😂😂😂😂😂😂😅😅😅
@surajkhupse72,Bhaiya please script meri likh le😂😂
@SURAJKUMAR-fb7jw,0:43 lekin usne kiya kya h?😂😂
@RamKumar-gs1bg,Ha Ha Ha  very Funny
@MujahidurRashid,Processor😅😂😂😂
@maheshbasumatary3704,Never Bored 😌
@Itoo-sii,Payday 2 on a budget
@Arts.of.DA.O.D-go9kk,Hame tijori ka password nahi pata hai 🤣🤣🤣🤣🤣🤣
@forestartsandmore..,Wo🎉
@as_pi_ra_nt,Ycyc bank😆😆
@chandankumar-zx3jh,Game of thrones ka hindi version own karo
@PEROX935,Thacnk you bro apna ya video banai😢😢😢😢😢
@KartickBiswas-l9r,Oopp😂😂😂❤❤❤
@ART-420,5
@Nobita-p9r,Ek video free fire pe banao
@rakhabulhasankhan,😂op
@krrishrao8175,Love form chhatisgarh 💕💕
@VORCIOUSCUP420,❤❤❤❤❤❤❤❤❤❤❤
@VinitPratab-ru5th,Epic🤣🤣🤣🤣
@Vanshvlogs-k8n,This is real not your type
@mandalorian1992,Not your type guys are amazing! Super funny and creative. Keep up the great work guys!
@miraclewithanbhav4572,Thanks for the name Chattisgarh
@pankaj_gammer_9916,Ohh bhai ye name kyu meain pankaj hu or esaa kuch nhi ha 😂😂😂😂😂😂😂😂
@ZentapZ,Bro why do you copied not your type video
@FFGYANESH,Thanks i am from 36garh😂😂
@vishalbhojwani387,C. G ❤
@GUNPARKOP,3:18 time is op 😂😂
@SumitKumar-p5b1m,😂😂😂😂😂😂😂
@jaitaivloger4,Next level 😂
@davendrachauhan3750,I'm from chandigarh bhai😂😂😂😂
@VijayKumar-xj7xm,not your type forever rocks
@pankajbari9578,The gun shot was minimuletia
@ur_sujeet115,Bhopal aur chhattisgarh tala todo ❣️😅😅😅😅😅
@zrtogamer7931,Do not use  chhattisgarh name again 😡😡😡😡
@Statushub44,Password 101
@TRETAYUG_ONLY_HINDU,Bhai password side me likha 😅😂
@ashishgurjar4777,👌
@PankajSharma-ej3yo,🤣🤣🤣
@InfinxSmart-y9u,😊😂
@SunitaDevi98675,Big fan of not your type 😊
@Vampire.Nights,"Not Your Type Always Favorite 😂😂

2nd Cmnt after 4 months 😂"
@usman7shorts,it's like don movie😂
@mdfaiz1573,Yc yc 😅
@RohitKumar-i9r1k,😅😅😅
@bcm15mdarifarshlan71,Muh dard ho gya has has k🥲
@deepakraghav3785,Password 101
@techno691,WE LOVE OUR CONTENTS SO MUCH
@cars_hub961,Bank chor
@rigalgaming930,Love you bhai chhatisgarh ka naam lene ke liye
@ManahilTahir-zx3gh,"""""Sharim ki Sketch book"""" is better than you Chapri creator"
@SPYDIGAMER,Not your type jinda baad ❤️
@SonaRaj-j8x,Yc
@revaplayz,Minecraft TNT sound when Bomb blasted in bank
@TarunKumar-b8w7t,Bhai tu cg hai na jhud mt bolo na
@freaksoul1358,Love form Himachal (NYT) 🥰op bhai
@wonderchannel-zb2tj,❤
@BestGamerShort,🤣🤣😂
@triloknathravi1808,Not😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
@sahil3207,Pankaj sir
@merepapaj,Mera naam hi q re 😅😅
@Annie_grande,Password 😭101 har jagah likha he Bhai kinne tejaswi log he
@musifever9818,Password is 101😂😂😂
@madmachine7028,Bhople 🤣🤣🤣🤣
@rssong9933,😂😂😂
@itzdevil6528,Bro dialogues change lag rhi ha
@eagledashgamer4493,Lekin isne Kiya kya hai 😂
@BULLET_BHI,1:18 processor 😂
@NeymiThaJr,hahaha 😂😂
@peeyush25077,Not your type favourite❤
@saadawishafi3026,😂😂😂😂
@sumitingle9931,101
@sopnadas678,😂😂😂
@ARyan.00-r4l,mujhe to kabutar ki chi chi lag rhi hai 🤣🤣🤣
@jairay7291,Best version of money heist I have never seen and the indian sniper 😂😂😂😂
@sahilshukla8127,I think it was kullu from Bhopal 😆
@annuxd01,1:59 love from bhopal ❤
@sumersingpawar7535,Nyt sir face revel kro😊
@pankajtiwari433,Me kab se money heist me chala gya 😅
@Ultramaxmems,proceesor❤
@tricksindianstars9193,Osam video
@anupraj1914,Password likhaaa haii
@arhaanmirza7894,Hamer
@sigmamalej,This is best
@Shayribyman,End is amazing 😂😂😂
@prashant.6135,Bichare 4 bakro ko kuch nahi mila 😂😂😂
@prashant.6135,Nice Collaboration with not your type 😂😂❤❤❤
@arjunkhandagale8618,Not your type
@mainumahanta2285,Bro always make joking😂😂❤
@roshanmankar9750,😂😂
@FardeenKhan-is6zk,Not your type 😄😎
@dandroid2208,Jeb katra😂
@Imrankhan-su9sr,Ladke kar kam ban geya...😮😮
@Happiness22-o4o,Nice😂😂😂
@whoisishu,BHAHAHAHAHA this video is so funny loved it
@PGPrat-873,🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿
@gautamandani547,"Netflix r3ally did that wwooo, 
He's a good artist deserved it"
@ishamanikpuri9245,Aap ke video or aap ki voice Bohot achi hai and it's funny also 👍🏼👍🏼👍🏼👍🏼😚☺☺☺☺🤩🤩🤩❤
@alif013-q2f,ツ❶ᴹRメ『ＡＬＩＦ』☯
@DKSahasi,Epic
@Foodexploree,Not your type 😮😂❤ keep it up
@Afnanworld29,3:44 😂😂
@vaibhavigohel1340,Not you type copy good wow Netflix
@tea-rex226,The way he executed every expression in his animation brooo soo talented
@shivanikhatri1674,Parle G maana genius
@Hero_is_back-87,Win Ayu
@restinpeace6969,@notyourtype congratulations bhai 🥳🥳🥳
@JAISHREERAM-i5j2l,Batter than money highst
@JACK-wg2vc,Bhai but pankaj hie kyuu 😂🥲🥲🥲
@Arshad4567,😂
@viralhubshorts01,Chhattisgarh sunke achha lga 😂
@farhankhanmahin9318,Part 2 pls
@Sam_26_90,"Now this is called "" Real Money Heist "" 😂😂❤"
@kamalgoswami4077,Rip off
@pankajbenwal,Abe saalon😂
@sagarthakur6884,I'm from chhattisgarh
@AS-Fusion-Music,Bhai lot pot ke hasraha hu main🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
@s.sgaming3080,What is your name😊
@late_night_loops,Ur voice 🔥😂😂
@Sigma_skeleton_03,I love you not your type
@Mech_Tanjirou,Bhai Netflix Walon ne not your type ki story ko repost Kar diya ab to bhai not your type famous
@ffshortgv6540,Op❤❤
@amitxlifts97,"mumbai, chhattisgarh, himachal or bhople 🤣🤣🤣🤣🤣"
@MuhammadAli-cy5us,Very nice Netflix video
@shaikh_shah512,Watching during zoom class😂
@sonugope5252,Pankaj left the chat
@sunil296withU,Ye Netflix me 😮😮😮😮
@Himanshusingh0246,Zomato ka New name zotato 😂😂
@RehanAhm,3:19 😂😂
@tamim0770,❤❤❤❤❤
@pankajbhosle5119,Pankaj 🤣
@Ajaynirmalkar-i7e,Chhattisgarh se jo jo hai like karo
@Ajaynirmalkar-i7e,Chhattisgarh
@amdoon2626,This is a funny masterpiece😂❤
@kahaniyokegucche,I really enjoy NYT videos ❤❤❤❤😂😂 kya script hai😂😂
@AyshaKhan-cp8uh,😂
@nullgodgamer4126,Netflix notyourtype haso kr ro. Jo bhi ak karo video par
@Kanishk-yh3fb,Reality me ye Money hiest + thunivu se bnaya hua h
@dexonZon,😂😂😂😂😂
@amitbilaspurwala,Gajab bhaiya ji
@ismatara4963,Not your type please birthday spacial video please
@Nob737,Password 101 is OP😂😂😂😂😂😂😂😂😂
@Asadkhan12193,Yar pahli bar dekha lekin 😂😂😂😂 Love From 🇵🇰
@ixperttube7014,Nyt is best 😂
@merakibislam6373,😂ok
@tatiyabichhoo1897,That password on wallet 😂😂😂
@PZrot,Bhopal aur Chhattisgarh 😂😂
@Conk-bepis,Chapri Netflix
@thakorkishan1912,🤬🤬🤬🤬🤬🤬🤬
@thakorkishan1912,Mera naam Pankaj
@themysteryboy2472,I am Pankaj 😂
@anmoljindal324,Mujhe pata hi nahi tha tumhara Netflix par video hai
@manashjyti2460,NYT ❤
@Mrboldrustic,Are 😁😁😁😁
@mayanksingh587,RG should also be recognized ~ Netflix
@Wasimakram7861,Yes sir
@BEASTINME-j1d,Not your type love 😍  >
@apexshadowgamer,At 3:36 snipers 😂😂😂
@Kratagy_0,bhai bhot HaHa 😂😂🤣video
@divyanshrangary1134,"Finally, Chattisgarh getting some recognition!"
@sourav-ix5oc,Not Your Type❤️❤️❤️
@ashishchalchalanifanpage0942,Chhattisgarh is love 💕
@Tanjiro.kamado825,Ya iam from chhattisgarh😅😅😅😂😂😂😂
@prime.Aditya-hq7de,Soo much love for your all videos
@tharabhaijoginder6902,3:19 best scenes 😂
@khatam_mp__rider_16,❤Bhai mera naam bhi Pankaj hai aur main Bhopal se hun😂😂 video 😂op
@LaxmiKisan-kk3xe,y are you doing not your type but I like Not your type
@Sakshi3631-S,The twist at the end was like Special 26. Great video. Really loved it
@urdaddy192,3:45
@mubeenashaik4103,Kyaa baat he bhai
@jassbhathal982,😂😂😂😂😂
@pralay_pratihar,0:38  line was amazing 😅
@madhavrajput6365,Your not your type
@bhaikachannel4969,Bhopal aur chattisgarh😂
@hetkhakhkhar8850,r.i.p off
@nirubist2082,Bro🎉🎉🎉❤❤ money heist money heist
@lutuali2453,Password bagal main  hi tha 😂🤣
@FX_2OP,Love from Chandigarh 😂❤
@jyotiwadhawan1865,My papa name is pankaj
@Survival_riders,Jai shree Ram
@bashadecoration1427,It's good and real animation
@bashadecoration1427,I from not your type subscriber
@vickey2398,Yeah🔥
@lazynickofficial,I watched 5 times😂😂
@promotoshsaha4168,Ferar din raiganj a morning a berole update dio meet korbo ❤
@TerBottom,Nice video not your type 😂😂😂😂😂
@adakhan346,Kha bhi sakte h
